date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:15:09	43/43	---M--	200	added ('OK')	image/gif	date:Sat,%2009%20Nov%202024%2008:42:27%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/blank.gif?v=164826798765693215961651490269	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/blank89b7.gif	(from https://uniformcraft.com/)
23:15:09	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:10%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/jquery-2.1.4.min.js?v=146653844047132007351651490305	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/jquery-2.1.4.min61a4.js	(from https://uniformcraft.com/)
23:15:09	84345/84345	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2003%20May%202024%2015:45:59%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/jquery-2.1.4.min.js?v=146653844047132007351651490305	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/jquery-2.1.4.min61a4.js	(from https://uniformcraft.com/)
23:15:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:10%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/jquery.easing.1.3.js?v=183302368868080250061651490310	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/jquery.easing.1.35bf1.js	(from https://uniformcraft.com/)
23:15:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:11%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/bootstrap.min.3x.js?v=176550150971748212101651490274	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/bootstrap.min.3x5fc6.js	(from https://uniformcraft.com/)
23:15:10	3434/3434	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202024%2016:57:46%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/jquery.easing.1.3.js?v=183302368868080250061651490310	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/jquery.easing.1.35bf1.js	(from https://uniformcraft.com/)
23:15:10	31650/31650	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2003%20May%202024%2022:04:24%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/bootstrap.min.3x.js?v=176550150971748212101651490274	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/bootstrap.min.3x5fc6.js	(from https://uniformcraft.com/)
23:15:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:11%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/modernizr.js?v=1227118485511592161651490338	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/modernizr9f86.js	(from https://uniformcraft.com/)
23:15:11	6345/6345	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2003%20May%202024%2021:01:51%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/modernizr.js?v=1227118485511592161651490338	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/modernizr9f86.js	(from https://uniformcraft.com/)
23:15:11	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:12%20GMT	http://uniformcraft.com/cdn/shop/t/21/assets/blue.png?v=70479618571484946761651490271	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/blue0fc0.png	(from https://uniformcraft.com/)
23:15:12	590/590	---M--	200	added ('OK')	image/png	date:Fri,%2015%20Nov%202024%2017:45:12%20GMT	https://uniformcraft.com/cdn/shop/t/21/assets/blue.png?v=70479618571484946761651490271	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shop/t/21/assets/blue0fc0.png	(from https://uniformcraft.com/)
23:15:12	5244/5244	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2015%20Nov%202024%2017:45:13%20GMT	https://uniformcraft.com/checkouts/internal/preloads.js?locale=en-IN	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/checkouts/internal/preloadsd568.js	(from https://uniformcraft.com/)
23:15:12	9611/9611	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2022%20Oct%202024%2000:36:28%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.4.0.iife.js	C:/My%20Web%20Sites/cotlintechstack/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.4.0.iife.js	(from https://uniformcraft.com/)
23:15:12	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2017:45:13%20GMT	http://uniformcraft.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.2d.delayed	(from https://uniformcraft.com/)
23:15:13	12948/12948	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2031%20Oct%202024%2018:41:25%20GMT	https://uniformcraft.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shopifycloud/shopify/assets/storefront/load_feature-1060834584ef204397b1179782a1b090047ee4397cb627244ab89e03f65c4307.js	(from https://uniformcraft.com/)
23:15:13	224401/224401	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2015%20Nov%202024%2017:38:58%20GMT	https://uniformcraft.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	C:/My%20Web%20Sites/cotlintechstack/uniformcraft.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	(from https://uniformcraft.com/)
23:15:13	564/564	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2015%20Nov%202024%2017:45:14%20GMT	https://static.personizely.net/b2f08c104a.js	C:/My%20Web%20Sites/cotlintechstack/static.personizely.net/b2f08c104a.30.delayed	(from https://uniformcraft.com/)
23:15:13	2745/2745	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2014%20Nov%202024%2016:56:55%20GMT	https://cdn.shopify.com/extensions/10143583-d4b6-4e47-90bd-b281ace5d8bb/inbox-1177/assets/inbox-chat-loader.js	C:/My%20Web%20Sites/cotlintechstack/cdn.shopify.com/extensions/10143583-d4b6-4e47-90bd-b281ace5d8bb/inbox-1177/assets/inbox-chat-loader.js	(from https://uniformcraft.com/)
23:15:14	336073/336073	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2014%20Nov%202024%2010:31:28%20GMT	https://cdn.shopify.com/extensions/dbbcc004-64fb-4fdd-9973-ece97c028357/volume-discounts-49/assets/hulkcode.js	C:/My%20Web%20Sites/cotlintechstack/cdn.shopify.com/extensions/dbbcc004-64fb-4fdd-9973-ece97c028357/volume-discounts-49/assets/hulkcode.js	(from https://uniformcraft.com/)
23:15:14	46378/46378	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Nov%202024%2010:31:28%20GMT	https://cdn.shopify.com/extensions/dbbcc004-64fb-4fdd-9973-ece97c028357/volume-discounts-49/assets/hulkcode.css	C:/My%20Web%20Sites/cotlintechstack/cdn.shopify.com/extensions/dbbcc004-64fb-4fdd-9973-ece97c028357/volume-discounts-49/assets/hulkcode.css	(from https://uniformcraft.com/)
